지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
175,2019-01-02 19:00,-2.3,,3.6,360,79,4.1,-5.4,974.4,1034.5,,,,,,,,,,,,-.5,,,,
175,2019-01-02 20:00,-2.8,,2.8,360,84,4.2,-5.1,974.6,1034.8,,,,,,,,,,,,-.9,,,,
175,2019-01-02 21:00,-3,,3.9,360,82,4,-5.6,974.4,1034.7,,,,,,,,,,,,-1.5,,,,
175,2019-01-02 22:00,-3.1,,2.8,20,79,3.8,-6.2,974.2,1034.5,,,,,,,,,,,,-1.8,,,,
175,2019-01-02 23:00,-3.3,,3.6,360,81,3.9,-6.1,974.2,1034.5,,,,,,,,,,,,-2.2,,,,
175,2019-01-03 00:00,-3.5,,4.4,360,82,3.9,-6.1,974.5,1034.9,,,,,,,,,,,,-2.5,,,,
175,2019-01-03 01:00,-3.3,,5,360,81,3.9,-6.1,974.5,1034.9,,,,,,,,,,,,-2.6,,,,
175,2019-01-03 02:00,-3,,6,360,80,3.9,-5.9,974.4,1034.7,,,,,,,,,,,,-2.7,,,,
175,2019-01-03 03:00,-3,,4.4,360,80,3.9,-5.9,974.6,1034.9,,,,,,,,,,,,-3.3,,,,
175,2019-01-03 04:00,-3.3,,4.3,360,82,3.9,-5.9,974.1,1034.4,,,,,,,,,,,,-3.5,,,,
175,2019-01-03 05:00,-3.2,,3,360,82,4,-5.8,974.4,1034.7,,,,,,,,,,,,-3.6,,,,
175,2019-01-03 06:00,-3.9,,2.5,70,86,3.9,-5.9,974.5,1035,,,,,,,,,,,,-3.7,,,,
175,2019-01-03 07:00,-4.2,,3.2,50,85,3.8,-6.3,974.5,1035.1,,,,,,,,,,,,-4.1,,,,
175,2019-01-03 08:00,-4.2,,3.6,20,85,3.8,-6.3,975.1,1035.7,.1,,,,,,,,,,,-4.5,,,,
175,2019-01-03 09:00,-2.3,,2.4,90,75,3.9,-6.1,975.9,1036.1,.9,,,,,,,,,,,-3.1,,,,
175,2019-01-03 10:00,-1.4,,2.8,70,70,3.9,-6.1,976.4,1036.4,1,,,,,,,,,,,-.3,,,,
175,2019-01-03 11:00,-.5,,1.9,70,69,4.1,-5.4,976.6,1036.5,1,,,,,,,,,,,3.9,,,,
175,2019-01-03 12:00,.8,,2.7,50,59,3.8,-6.3,975.8,1035.3,1,,,,,,,,,,,6,,,,
175,2019-01-03 13:00,.8,,3,70,52,3.4,-7.9,974.8,1034.2,1,,,,,,,,,,,9.5,,,,
175,2019-01-03 14:00,2.6,,2.8,110,49,3.6,-7,974,1032.9,1,,,,,,,,,,,9.8,,,,
175,2019-01-03 15:00,.8,,2.9,20,60,3.9,-6,974,1033.4,1,,,,,,,,,,,8.9,,,,
175,2019-01-03 16:00,.8,,2.7,20,63,4.1,-5.4,973.9,1033.2,1,,,,,,,,,,,6.3,,,,
175,2019-01-03 17:00,0,,2.7,360,68,4.2,-5.2,974.2,1033.8,1,,,,,,,,,,,.3,,,,
175,2019-01-03 18:00,-1.8,,5.1,360,73,3.9,-6,974.2,1034.2,.1,,,,,,,,,,,-.5,,,,
175,2019-01-03 19:00,-2.1,,6.2,340,74,3.9,-6.1,975,1035.1,,,,,,,,,,,,-1.5,,,,
175,2019-01-03 20:00,-2.4,,5.7,360,77,4,-5.8,974.6,1034.7,,,,,,,,,,,,-2.1,,,,
175,2019-01-03 21:00,-2.6,,5.6,360,67,3.4,-7.8,974.7,1034.9,,,,,,,,,,,,-2.6,,,,
175,2019-01-03 22:00,-2.6,,6.1,360,64,3.2,-8.4,975.2,1035.4,,,,,,,,,,,,-3,,,,
175,2019-01-03 23:00,-3.2,,6.6,360,77,3.7,-6.6,974.2,1034.5,,,,,,,,,,,,-3.2,,,,
175,2019-01-04 00:00,-3.2,,5.7,360,81,3.9,-6,974.2,1034.5,,,,,,,,,,,,-3.4,,,,
175,2019-01-04 01:00,-3,,5.5,20,72,3.5,-7.3,973.9,1034.1,,,,,,,,,,,,-3.6,,,,
175,2019-01-04 02:00,-3,,5.8,20,62,3,-9.2,974,1034.2,,,,,,,,,,,,-4,,,,
175,2019-01-04 03:00,-3.1,,5.7,20,63,3.1,-9.1,973.7,1034,,,,,,,,,,,,-4.3,,,,
175,2019-01-04 04:00,-2.2,,5.7,20,50,2.6,-11.2,973.6,1033.6,,,,,,,,,,,,-4.4,,,,
175,2019-01-04 05:00,-2.3,,5.2,20,49,2.5,-11.5,972.5,1032.5,,,,,,,,,,,,-4.5,,,,
175,2019-01-04 06:00,-1.9,,5.2,20,44,2.3,-12.5,972.3,1032.2,,,,,,,,,,,,-4.3,,,,
175,2019-01-04 07:00,-.7,,4.3,20,31,1.8,-15.7,972.4,1032.1,,,,,,,,,,,,-4.3,,,,
175,2019-01-04 08:00,-.1,,2.8,50,26,1.6,-17.3,972.6,1032.1,.2,,,,,,,,,,,-2.9,,,,
175,2019-01-04 09:00,1.1,,3.3,110,18,1.2,-20.6,971.7,1030.8,.1,,,,,,,,,,,-1.2,,,,
175,2019-01-04 10:00,2.5,,.8,110,12,.9,-24.1,972.9,1031.7,.2,,,,,,,,,,,-.4,,,,
175,2019-01-04 11:00,1.8,,2.1,290,34,2.4,-12.4,973.6,1032.7,0,,,,,,,,,,,-.1,,,,
175,2019-01-04 12:00,1.4,,4.6,340,31,2.1,-13.9,972.7,1031.8,0,,,,,,,,,,,.1,,,,
175,2019-01-04 13:00,.8,,3.1,20,51,3.3,-8.2,971.3,1030.5,.1,,,,,,,,,,,2,,,,
175,2019-01-04 14:00,-.1,,3.4,20,40,2.4,-12.1,970.6,1030,0,,,,,,,,,,,.1,,,,
175,2019-01-04 15:00,-.5,,4.1,360,44,2.6,-11.2,970.2,1029.7,0,,,,,,,,,,,-.5,,,,
175,2019-01-04 16:00,-.6,,4.5,20,57,3.3,-8,970,1029.5,0,,,,,,,,,,,-.4,,,,
175,2019-01-04 17:00,-1.3,,3.6,50,69,3.8,-6.2,969.3,1028.8,0,,,,,,,,,,,-.5,,,,
175,2019-01-04 18:00,-1.6,,3.3,50,75,4.1,-5.4,969.3,1028.9,0,,,,,,,,,,,-.6,,,,
175,2019-01-04 19:00,-.2,,4.8,50,79,4.8,-3.4,969.4,1028.7,,,,,,,,,,,,-.6,,,,
175,2019-01-04 20:00,.2,,3.4,110,68,4.2,-5,969.5,1028.7,,,,,,,,,,,,-.6,,,,
175,2019-01-04 21:00,.1,,4.5,50,71,4.4,-4.5,969.4,1028.7,,,,,,,,,,,,-.7,,,,
175,2019-01-04 22:00,-.1,,5.3,20,69,4.2,-5.1,969,1028.3,,,,,,,,,,,,-.8,,,,
175,2019-01-04 23:00,0,,4.4,360,77,4.7,-3.5,969,1028.3,,,,,,,,,,,,-.7,,,,
175,2019-01-05 00:00,-.3,,4,20,79,4.7,-3.5,968.5,1027.8,,,,,,,,,,,,-.8,,,,
175,2019-01-05 01:00,-.7,,4.2,20,83,4.8,-3.2,968.1,1027.5,,,,,,,,,,,,-.8,,,,
175,2019-01-05 02:00,-.4,,4.5,360,92,5.5,-1.5,968.3,1027.6,,,,,,,,,,,,-.7,,,,
175,2019-01-05 03:00,-.5,,4.5,360,96,5.7,-1,967.9,1027.2,,,,,,,,,,,,-.6,,,,
175,2019-01-05 04:00,-.2,,6.2,360,98,5.9,-.4,967.4,1026.6,,,,,,,,,,,,-.6,,,,
175,2019-01-05 05:00,-.1,,5.3,360,98,6,-.3,967,1026.2,,,,,,,,,,,,-.6,,,,
175,2019-01-05 06:00,.2,,4.8,360,92,5.7,-.9,967.2,1026.3,,,,,,,,,,,,-.6,,,,
175,2019-01-05 07:00,.5,,4.1,360,87,5.5,-1.4,967,1026,,,,,,,,,,,,-.6,,,,
175,2019-01-05 08:00,.3,,4.3,360,92,5.8,-.8,967.3,1026.4,0,,,,,,,,,,,-.5,,,,
175,2019-01-05 09:00,.2,,4.2,360,95,5.9,-.5,968.1,1027.3,0,,,,,,,,,,,-.5,,,,
175,2019-01-05 10:00,-.3,,3.5,360,94,5.6,-1.1,968.3,1027.6,0,,,,,,,,,,,-.4,,,,
175,2019-01-05 11:00,-.1,,5.9,360,85,5.2,-2.3,968.1,1027.3,0,,,,,,,,,,,.1,,,,
175,2019-01-05 12:00,1,,4.1,360,78,5.1,-2.4,967.1,1026,.3,,,,,,,,,,,5.1,,,,
175,2019-01-05 13:00,1.7,,4.3,360,67,4.6,-3.7,966.5,1025.2,1,,,,,,,,,,,10.6,,,,
175,2019-01-05 14:00,2,,3.7,360,64,4.5,-4.1,966,1024.6,1,,,,,,,,,,,9.9,,,,
175,2019-01-05 15:00,1.3,,5.5,360,61,4.1,-5.4,965.7,1024.4,1,,,,,,,,,,,9.1,,,,
175,2019-01-05 16:00,.4,,5.3,360,62,3.9,-6,965.8,1024.8,1,,,,,,,,,,,5.7,,,,
175,2019-01-05 17:00,-.9,,6.5,360,58,3.3,-8.1,965.9,1025.2,1,,,,,,,,,,,.3,,,,
175,2019-01-05 18:00,-2.4,,6.5,360,67,3.4,-7.7,965.7,1025.3,.1,,,,,,,,,,,-.7,,,,
175,2019-01-05 19:00,-2.9,,7.3,360,74,3.7,-6.8,966.6,1026.4,,,,,,,,,,,,-1.6,,,,
175,2019-01-05 20:00,-3.3,,8.5,360,74,3.6,-7.2,966.1,1025.9,,,,,,,,,,,,-2.1,,,,
175,2019-01-05 21:00,-3.5,,6.7,360,74,3.5,-7.4,967.1,1027,,,,,,,,,,,,-2.5,,,,
175,2019-01-05 22:00,-3.5,,8.4,360,73,3.5,-7.6,966.6,1026.5,,,,,,,,,,,,-2.9,,,,
175,2019-01-05 23:00,-3.5,,6.4,360,73,3.5,-7.6,966.5,1026.4,,,,,,,,,,,,-2.7,,,,
175,2019-01-06 00:00,-3.8,,6.4,360,74,3.4,-7.7,966,1026,,,,,,,,,,,,-2.8,,,,
175,2019-01-06 01:00,-3.6,,6.4,360,72,3.4,-7.9,966.7,1026.6,,,,,,,,,,,,-2.6,,,,
175,2019-01-06 02:00,-3.7,,6.3,360,75,3.5,-7.4,967.4,1027.4,,,,,,,,,,,,-2.8,,,,
175,2019-01-06 03:00,-3.7,,4.8,360,77,3.6,-7.1,967.6,1027.6,,,,,,,,,,,,-2.6,,,,
175,2019-01-06 04:00,-3.8,,4.9,20,74,3.4,-7.7,967.3,1027.3,,,,,,,,,,,,-2.7,,,,
175,2019-01-06 05:00,-3.5,,6,360,75,3.6,-7.2,966.8,1026.7,,,,,,,,,,,,-2.9,,,,
175,2019-01-06 06:00,-3.6,,7.5,360,76,3.6,-7.2,967.3,1027.3,,,,,,,,,,,,-3,,,,
175,2019-01-06 07:00,-3.8,,5.1,360,78,3.6,-7,967.5,1027.5,,,,,,,,,,,,-3.3,,,,
175,2019-01-06 08:00,-4.2,,6.8,360,79,3.5,-7.3,968.2,1028.4,0,,,,,,,,,,,-4.3,,,,
175,2019-01-06 09:00,-3.7,,5.7,360,78,3.6,-6.9,968.6,1028.7,.8,,,,,,,,,,,-3.5,,,,
175,2019-01-06 10:00,-2.8,,4,360,77,3.8,-6.2,969.4,1029.3,1,,,,,,,,,,,-.6,,,,
175,2019-01-06 11:00,-1.1,,4.2,360,72,4.1,-5.5,969.7,1029.3,1,,,,,,,,,,,3,,,,
175,2019-01-06 12:00,.6,,3.6,360,66,4.2,-5,969.3,1028.4,1,,,,,,,,,,,7.4,,,,
175,2019-01-06 13:00,1.4,,3.6,340,57,3.8,-6.2,968.7,1027.6,1,,,,,,,,,,,11.3,,,,
175,2019-01-06 14:00,2.1,,4.4,340,62,4.4,-4.4,968.6,1027.3,1,,,,,,,,,,,11.4,,,,
175,2019-01-06 15:00,1.2,,4.9,360,67,4.5,-4.2,968.2,1027.1,1,,,,,,,,,,,10.2,,,,
175,2019-01-06 16:00,.2,,6.2,360,70,4.3,-4.6,968.2,1027.4,1,,,,,,,,,,,5.9,,,,
175,2019-01-06 17:00,-.8,,6.5,360,77,4.4,-4.3,968.6,1028,1,,,,,,,,,,,.1,,,,
175,2019-01-06 18:00,-1.6,,7.3,360,86,4.7,-3.6,968.4,1028,0,,,,,,,,,,,-.5,,,,
175,2019-01-06 19:00,-2,,5.8,360,87,4.6,-3.8,969.1,1028.8,,,,,,,,,,,,-.9,,,,
175,2019-01-06 20:00,-2.1,,5.9,360,87,4.6,-3.9,969,1028.7,,,,,,,,,,,,-1.3,,,,
175,2019-01-06 21:00,-2.1,,6.9,360,86,4.5,-4.1,969.5,1029.2,,,,,,,,,,,,-1.6,,,,
175,2019-01-06 22:00,-2.1,,7.2,360,86,4.5,-4.1,969.6,1029.4,,,,,,,,,,,,-1.7,,,,
175,2019-01-06 23:00,-2.1,,7,360,87,4.6,-3.9,969.6,1029.4,,,,,,,,,,,,-2,,,,
175,2019-01-07 00:00,-2.2,,7,360,91,4.8,-3.4,969.2,1029,,,,,,,,,,,,-2.2,,,,
175,2019-01-07 01:00,-2.1,,7.5,360,92,4.8,-3.2,969.1,1028.8,,,,,,,,,,,,-2.3,,,,
175,2019-01-07 02:00,-2.4,,5.9,360,92,4.7,-3.5,969.1,1028.9,,,,,,,,,,,,-2.7,,,,
175,2019-01-07 03:00,-2.5,,4.5,360,92,4.7,-3.6,969.1,1028.9,,,,,,,,,,,,-2.9,,,,
175,2019-01-07 04:00,-2.4,,5.9,360,91,4.7,-3.6,968.9,1028.7,,,,,,,,,,,,-3,,,,
175,2019-01-07 05:00,-2.3,,6.8,360,90,4.6,-3.7,968.8,1028.6,,,,,,,,,,,,-3,,,,
175,2019-01-07 06:00,-2.3,,6.5,360,91,4.7,-3.5,969.1,1028.9,,,,,,,,,,,,-3.1,,,,
175,2019-01-07 07:00,-2.6,,4.2,360,93,4.7,-3.5,969.4,1029.3,,,,,,,,,,,,-3.4,,,,
175,2019-01-07 08:00,-2.6,,4.2,360,93,4.7,-3.5,969.6,1029.5,0,,,,,,,,,,,-3.3,,,,
175,2019-01-07 09:00,-1.4,,4,360,87,4.8,-3.2,969.8,1029.4,1,,,,,,,,,,,-2.1,,,,
175,2019-01-07 10:00,-.8,,3.1,20,84,4.9,-3.1,970.5,1030.1,1,,,,,,,,,,,-.3,,,,
175,2019-01-07 11:00,1,,1.8,50,74,4.9,-3.1,970.5,1029.6,1,,,,,,,,,,,3.5,,,,
175,2019-01-07 12:00,1.8,,1.4,50,69,4.8,-3.2,969.7,1028.5,1,,,,,,,,,,,9.7,,,,
175,2019-01-07 13:00,3.3,,2.3,90,63,4.9,-3,968.6,1027,1,,,,,,,,,,,12.9,,,,
175,2019-01-07 14:00,3,,1.1,320,63,4.8,-3.3,968.3,1026.7,1,,,,,,,,,,,11,,,,
175,2019-01-07 15:00,1.8,,4.6,360,69,4.8,-3.2,968.1,1026.8,1,,,,,,,,,,,8.2,,,,
175,2019-01-07 16:00,.5,,4.1,360,76,4.8,-3.2,968.4,1027.5,.8,,,,,,,,,,,4.1,,,,
175,2019-01-07 17:00,-.4,,4.2,360,73,4.3,-4.6,967.9,1027.2,.1,,,,,,,,,,,.9,,,,
175,2019-01-07 18:00,-1,,3.5,360,76,4.3,-4.7,968.2,1027.7,0,,,,,,,,,,,0,,,,
175,2019-01-07 19:00,-.9,,3.7,20,78,4.5,-4.2,968.3,1027.8,,,,,,,,,,,,-.3,,,,
175,2019-01-07 20:00,-1,,2.6,90,79,4.5,-4.1,968,1027.5,,,,,,,,,,,,-.4,,,,
175,2019-01-07 21:00,-.9,,2.7,20,78,4.5,-4.2,968.8,1028.3,,,,,,,,,,,,-.5,,,,
175,2019-01-07 22:00,-1.1,,2.4,50,80,4.5,-4.1,969,1028.6,,,,,,,,,,,,-.6,,,,
175,2019-01-07 23:00,-1.1,,2.9,20,80,4.5,-4.1,968.8,1028.3,,,,,,,,,,,,-.7,,,,
175,2019-01-08 00:00,-1.3,,2.8,70,83,4.6,-3.8,968.2,1027.7,,,,,,,,,,,,-.8,,,,
175,2019-01-08 01:00,-1.3,,4.9,20,82,4.6,-3.9,967.4,1026.8,,,,,,,,,,,,-.9,,,,
175,2019-01-08 02:00,-1.1,,4.8,360,84,4.8,-3.4,968.1,1027.6,,,,,,,,,,,,-.9,,,,
175,2019-01-08 03:00,-1.2,,6.7,360,87,4.9,-3,968.1,1027.5,,,,,,,,,,,,-1.2,,,,
175,2019-01-08 04:00,-1.5,,6.1,360,92,5,-2.6,967.9,1027.4,,,,,,,,,,,,-1.6,,,,
175,2019-01-08 05:00,-1.1,,6.7,360,91,5.2,-2.3,967.8,1027.3,,,,,,,,,,,,-1.4,,,,
175,2019-01-08 06:00,-1.2,,5.8,360,90,5,-2.6,968.1,1027.5,,,,,,,,,,,,-1.8,,,,
175,2019-01-08 07:00,-1.1,,6.3,360,89,5,-2.6,968.4,1027.9,,,,,,,,,,,,-1.8,,,,
175,2019-01-08 08:00,-1,,5.4,360,89,5.1,-2.5,968.4,1027.9,0,,,,,,,,,,,-1.4,,,,
175,2019-01-08 09:00,-.9,,2.8,360,88,5,-2.6,968.9,1028.4,0,,,,,,,,,,,-.6,,,,
175,2019-01-08 10:00,-.1,,3.1,360,86,5.2,-2.1,969.5,1028.8,.2,,,,,,,,,,,-.4,,,,
175,2019-01-08 11:00,1.3,,3.7,340,75,5,-2.6,969.8,1028.8,1,,,,,,,,,,,2.9,,,,
175,2019-01-08 12:00,2.2,,4.8,340,72,5.2,-2.3,968.8,1027.5,1,,,,,,,,,,,9.3,,,,
175,2019-01-08 13:00,1.7,,4.1,340,74,5.1,-2.4,968.3,1027.1,.3,,,,,,,,,,,6.1,,,,
175,2019-01-08 14:00,.7,,5.5,360,79,5.1,-2.5,967.9,1026.9,.2,,,,,,,,,,,4.3,,,,
175,2019-01-08 15:00,.5,,5.7,360,75,4.8,-3.4,967.9,1027,.1,,,,,,,,,,,3.5,,,,
175,2019-01-08 16:00,.3,,4.5,340,77,4.8,-3.2,968.2,1027.3,.4,,,,,,,,,,,4.4,,,,
175,2019-01-08 17:00,-1.4,,5.1,360,85,4.7,-3.6,968.8,1028.3,.1,,,,,,,,,,,.7,,,,
175,2019-01-08 18:00,-1.9,,4.7,360,81,4.3,-4.7,969.6,1029.3,0,,,,,,,,,,,0,,,,
175,2019-01-08 19:00,-2.3,,5,360,78,4,-5.6,970.3,1030.1,,,,,,,,,,,,-.2,,,,
175,2019-01-08 20:00,-2.4,,5.5,360,75,3.8,-6.2,970.4,1030.3,,,,,,,,,,,,-.5,,,,
175,2019-01-08 21:00,-2.1,,6.2,340,73,3.8,-6.2,970.5,1030.3,,,,,,,,,,,,-.6,,,,
175,2019-01-08 22:00,-2.7,,5.7,360,91,4.6,-3.9,970.5,1030.5,,,,,,,,,,,,-.8,,,,
175,2019-01-08 23:00,-3.3,,5.2,360,95,4.6,-3.9,971,1031.1,,,,,,,,,,,,-.9,,,,
175,2019-01-09 00:00,-3.4,,5.9,340,93,4.4,-4.3,971.7,1031.9,,,,,,,,,,,,-1,,,,
175,2019-01-09 01:00,-3.3,,4.7,360,81,3.9,-6.1,972,1032.2,,,,,,,,,,,,-1.2,,,,
175,2019-01-09 02:00,-4,,3.7,360,80,3.6,-6.9,972.5,1032.9,,,,,,,,,,,,-1.6,,,,
175,2019-01-09 03:00,-4.6,,5,360,73,3.2,-8.7,973,1033.6,,,,,,,,,,,,-2,,,,
175,2019-01-09 04:00,-5,,3.7,360,72,3,-9.2,972.9,1033.6,,,,,,,,,,,,-2.4,,,,
175,2019-01-09 05:00,-5.2,,4.3,360,75,3.1,-8.9,973,1033.7,,,,,,,,,,,,-3.1,,,,
175,2019-01-09 06:00,-6.1,,2.6,90,81,3.1,-8.8,973.3,1034.3,,,,,,,,,,,,-3.6,,,,
175,2019-01-09 07:00,-7.1,,3.2,140,79,2.8,-10.1,972.7,1033.8,,,,,,,,,,,,-4.1,,,,
175,2019-01-09 08:00,-7.6,,3.5,110,72,2.5,-11.7,972.3,1033.5,0,,,,,,,,,,,-4.7,,,,
175,2019-01-09 09:00,-5.6,,3.6,110,62,2.5,-11.7,973,1033.8,.9,,,,,,,,,,,-3.1,,,,
175,2019-01-09 10:00,-4.9,,4.3,70,44,1.9,-15.3,973.6,1034.3,1,,,,,,,,,,,-1,,,,
175,2019-01-09 11:00,-2.8,,2.9,90,35,1.7,-16.1,974,1034.2,1,,,,,,,,,,,-.1,,,,
175,2019-01-09 12:00,-1.8,,2.1,90,34,1.8,-15.6,973.9,1033.8,.6,,,,,,,,,,,1.1,,,,
175,2019-01-09 13:00,-1.4,,1.5,70,34,1.9,-15.2,972.7,1032.5,0,,,,,,,,,,,2,,,,
175,2019-01-09 14:00,-1,,1.4,90,32,1.8,-15.6,971.9,1031.6,0,,,,,,,,,,,5.2,,,,
175,2019-01-09 15:00,.5,,1.8,140,32,2,-14.3,971.5,1030.8,.2,,,,,,,,,,,5.9,,,,
175,2019-01-09 16:00,-.8,,1.4,70,36,2.1,-14,971.5,1031.1,0,,,,,,,,,,,2.9,,,,
175,2019-01-09 17:00,-1.4,,.6,90,38,2.1,-13.9,971.4,1031.1,0,,,,,,,,,,,.9,,,,
175,2019-01-09 18:00,-1.5,,1,180,38,2.1,-14,971.7,1031.4,0,,,,,,,,,,,0,,,,
175,2019-01-09 19:00,-1.5,,1.2,140,38,2.1,-14,971.5,1031.2,,,,,,,,,,,,-.3,,,,
175,2019-01-09 20:00,-1.7,,.9,160,39,2.1,-13.8,971,1030.7,,,,,,,,,,,,-.5,,,,
175,2019-01-09 21:00,-1.2,,1.1,180,39,2.2,-13.4,970.5,1030.1,,,,,,,,,,,,-.6,,,,
