지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),현지기압(hPa),일조(hr),시정(10m),지면온도(°C),증기압(hPa)
174,2020-01-02 08:00,0.2,0.0,3.3,290,71,-4.4,1009.6,0.0,1065,-1.9,4.4
174,2020-01-02 09:00,1.1,0.0,2.8,270,68,-4.1,1009.8,0.8,1158,-1.1,4.5
174,2020-01-02 10:00,3.2,0.0,3.2,290,61,-3.6,1009.4,1.0,1170,-0.3,4.7
174,2020-01-02 11:00,4.4,0.0,4.1,270,57,-3.3,1009.6,1.0,1261,0.1,4.8
174,2020-01-02 12:00,5.2,0.0,5.7,290,53,-3.6,1008.3,1.0,1025,1.0,4.7
174,2020-01-02 13:00,6.3,0.0,4.8,270,48,-3.9,1007.5,1.0,984,2.9,4.6
174,2020-01-02 14:00,6.8,0.0,3.0,320,49,-3.1,1006.9,1.0,995,6.7,4.9
174,2020-01-02 15:00,7.0,0.0,3.9,340,50,-2.7,1006.9,1.0,933,6.3,5.0
174,2020-01-02 16:00,6.7,0.0,4.4,320,52,-2.4,1007.2,1.0,845,3.4,5.1
174,2020-01-02 17:00,5.9,0.0,3.6,320,54,-2.7,1007.1,0.8,736,1.5,5.0
174,2020-01-02 18:00,4.5,0.0,2.6,320,58,-3.0,1006.9,0.0,647,0.1,4.9
174,2020-01-02 19:00,3.4,0.0,2.7,320,62,-3.2,1007.4,0.0,589,0.1,4.8
174,2020-01-02 20:00,2.7,0.0,3.2,270,67,-2.8,1007.6,0.0,536,-0.1,5.0
174,2020-01-02 21:00,2.0,0.0,3.9,270,71,-2.7,1007.9,0.0,493,-0.2,5.0
174,2020-01-02 22:00,1.9,0.0,3.6,270,72,-2.6,1008.4,0.0,474,-0.3,5.0
174,2020-01-02 23:00,1.4,0.0,4.4,270,76,-2.3,1008.0,0.0,430,-0.5,5.2
174,2020-01-03 00:00,1.1,0.0,3.8,270,78,-2.3,1007.6,0.0,434,-0.5,5.2
174,2020-01-03 01:00,1.0,0.0,2.8,270,78,-2.4,1007.0,0.0,434,-0.7,5.1
174,2020-01-03 02:00,1.7,0.0,2.6,270,77,-1.9,1006.8,0.0,504,-0.4,5.3
174,2020-01-03 03:00,2.5,0.0,2.4,270,73,-1.8,1006.6,0.0,572,-0.2,5.4
174,2020-01-03 04:00,3.4,0.0,3.1,290,68,-1.9,1006.3,0.0,718,-0.4,5.3
174,2020-01-03 05:00,2.9,0.0,2.6,290,71,-1.8,1005.6,0.0,727,-0.6,5.4
174,2020-01-03 06:00,1.7,0.0,3.5,270,76,-2.0,1006.0,0.0,578,-0.8,5.3
174,2020-01-03 07:00,0.4,0.0,2.5,270,82,-2.3,1006.1,0.0,485,-1.1,5.2
174,2020-01-03 08:00,-0.1,0.0,2.4,270,84,-2.4,1006.4,0.0,412,-1.2,5.1
174,2020-01-03 09:00,2.5,0.0,2.9,270,73,-1.8,1006.8,0.8,503,-0.3,5.4
174,2020-01-03 10:00,3.7,0.0,5.7,290,64,-2.4,1006.9,1.0,679,0.1,5.1
174,2020-01-03 11:00,4.5,0.0,5.0,270,61,-2.3,1006.5,1.0,715,0.4,5.2
174,2020-01-03 12:00,5.4,0.0,5.6,290,57,-2.4,1005.7,1.0,781,1.1,5.1
174,2020-01-03 13:00,5.6,0.0,7.1,290,56,-2.5,1004.9,1.0,755,3.0,5.1
174,2020-01-03 14:00,6.4,0.0,7.1,320,54,-2.2,1003.8,1.0,739,7.4,5.2
174,2020-01-03 15:00,6.7,0.0,6.5,290,52,-2.4,1003.6,1.0,838,7.9,5.1
174,2020-01-03 16:00,7.2,0.0,4.9,290,49,-2.8,1003.8,1.0,880,5.0,5.0
174,2020-01-03 17:00,5.7,0.0,3.8,270,54,-2.9,1004.2,0.8,656,2.7,4.9
174,2020-01-03 18:00,4.8,0.0,4.1,290,57,-3.0,1004.8,0.0,679,0.8,4.9
174,2020-01-03 19:00,3.8,0.0,3.3,290,64,-2.3,1005.2,0.0,552,0.2,5.2
174,2020-01-03 20:00,3.1,0.0,3.6,270,69,-2.0,1005.3,0.0,475,-0.3,5.3
174,2020-01-03 21:00,2.3,0.0,2.4,270,74,-1.8,1005.3,0.0,400,0.1,5.4
174,2020-01-03 22:00,1.7,0.0,2.6,290,76,-2.0,1005.5,0.0,411,0.0,5.3
174,2020-01-03 23:00,1.2,0.0,2.3,320,80,-1.8,1005.1,0.0,383,-0.2,5.4
174,2020-01-04 00:00,-1.8,0.0,0.7,110,91,-3.0,1004.9,0.0,247,-0.6,4.9
174,2020-01-04 01:00,-2.5,0.0,0.2,0,93,-3.4,1004.4,0.0,220,-1.0,4.8
174,2020-01-04 02:00,-0.1,0.0,1.7,290,88,-1.8,1004.3,0.0,354,-1.2,5.4
174,2020-01-04 03:00,0.5,0.0,2.3,290,82,-2.2,1004.2,0.0,413,-1.2,5.2
174,2020-01-04 04:00,0.2,0.0,2.6,270,83,-2.3,1004.0,0.0,387,-1.3,5.2
174,2020-01-04 05:00,0.2,0.0,3.5,270,81,-2.6,1003.8,0.0,413,-1.4,5.0
174,2020-01-04 06:00,-0.3,0.0,4.5,270,81,-3.1,1004.0,0.0,423,-1.5,4.9
174,2020-01-04 07:00,0.3,0.0,4.4,270,70,-4.5,1003.9,0.0,633,-1.4,4.4
174,2020-01-04 08:00,0.5,0.0,3.1,270,62,-5.9,1004.4,0.0,772,-1.4,3.9
174,2020-01-04 09:00,1.6,0.0,3.5,270,62,-4.9,1004.6,0.1,716,-0.4,4.2
174,2020-01-04 10:00,3.3,0.0,2.9,270,62,-3.2,1005.1,0.3,773,0.0,4.8
174,2020-01-04 11:00,4.8,0.0,3.9,320,61,-2.0,1004.7,0.9,1088,0.4,5.3
174,2020-01-04 12:00,4.9,0.0,6.0,320,61,-2.0,1004.5,1.0,886,1.3,5.3
174,2020-01-04 13:00,6.0,0.0,6.9,290,57,-1.8,1003.5,1.0,1021,3.7,5.4
174,2020-01-04 14:00,7.4,0.0,4.4,290,53,-1.5,1003.2,1.0,1049,9.6,5.5
174,2020-01-04 15:00,7.3,0.0,3.4,320,53,-1.6,1003.0,1.0,943,9.3,5.4
174,2020-01-04 16:00,7.3,0.0,5.1,290,52,-1.9,1003.2,1.0,856,5.5,5.3
174,2020-01-04 17:00,6.4,0.0,3.1,290,55,-2.0,1003.8,0.9,710,3.3,5.3
174,2020-01-04 18:00,5.1,0.0,2.4,290,62,-1.5,1004.3,0.0,483,1.1,5.5
174,2020-01-04 19:00,4.4,0.0,2.8,290,62,-2.2,1004.8,0.0,624,0.2,5.2
174,2020-01-04 20:00,3.7,0.0,2.6,290,66,-2.0,1005.5,0.0,585,-0.3,5.3
174,2020-01-04 21:00,2.2,0.0,2.4,320,74,-1.9,1006.1,0.0,464,0.1,5.3
174,2020-01-04 22:00,0.1,0.0,1.2,140,84,-2.2,1006.5,0.0,373,-0.2,5.2
174,2020-01-04 23:00,0.0,0.0,0.6,250,85,-2.2,1006.7,0.0,337,-0.5,5.2
174,2020-01-05 00:00,-2.2,0.0,0.8,160,93,-3.1,1006.9,0.0,199,-0.9,4.9
174,2020-01-05 01:00,-2.5,0.0,0.2,0,95,-3.1,1006.8,0.0,200,-1.3,4.9
174,2020-01-05 02:00,-2.4,0.0,0.2,0,97,-2.8,1007.6,0.0,184,-1.6,5.0
174,2020-01-05 03:00,-3.6,0.0,0.4,0,97,-4.0,1007.6,0.0,161,-2.0,4.5
174,2020-01-05 04:00,-4.1,0.0,0.6,270,98,-4.3,1007.8,0.0,130,-2.5,4.4
174,2020-01-05 05:00,-4.6,0.0,0.3,0,97,-5.0,1008.0,0.0,170,-2.9,4.2
174,2020-01-05 06:00,-4.7,0.0,0.1,0,97,-5.1,1008.5,0.0,162,-3.2,4.2
174,2020-01-05 07:00,-5.2,0.0,0.3,0,97,-5.6,1008.9,0.0,170,-3.5,4.0
174,2020-01-05 08:00,-5.4,0.0,0.1,0,96,-5.9,1009.5,0.0,193,-3.6,3.9
174,2020-01-05 09:00,-2.7,0.0,0.2,0,92,-3.8,1010.0,0.8,199,-2.4,4.6
174,2020-01-05 10:00,1.0,0.0,0.8,90,74,-3.1,1010.5,1.0,476,-1.1,4.9
174,2020-01-05 11:00,6.1,0.0,1.4,230,41,-6.1,1010.0,1.0,1316,-0.3,3.9
174,2020-01-05 12:00,8.2,0.0,1.3,200,32,-7.5,1008.9,1.0,1604,0.2,3.5
174,2020-01-05 13:00,9.1,0.0,1.6,270,26,-9.4,1008.1,1.0,1544,2.6,3.0
174,2020-01-05 14:00,10.0,0.0,0.9,160,29,-7.2,1007.7,1.0,1695,8.9,3.6
174,2020-01-05 15:00,10.1,0.0,0.9,230,30,-6.7,1007.6,0.9,1483,7.2,3.7
174,2020-01-05 16:00,10.8,0.0,0.7,180,26,-7.9,1007.9,1.0,1459,8.8,3.4
174,2020-01-05 17:00,9.0,0.0,2.6,180,31,-7.2,1008.5,0.6,1517,5.0,3.6
174,2020-01-05 18:00,7.2,0.0,0.5,70,32,-8.4,1009.3,0.0,1202,1.5,3.2
174,2020-01-05 19:00,3.2,0.0,0.2,0,53,-5.4,1009.5,0.0,862,0.8,4.1
174,2020-01-05 20:00,2.4,0.0,0.0,0,58,-5.0,1009.2,0.0,541,0.4,4.2
174,2020-01-05 21:00,1.2,0.0,0.1,0,64,-4.8,1009.3,0.0,674,-0.8,4.3
174,2020-01-05 22:00,0.6,0.0,0.2,0,68,-4.6,1009.6,0.0,638,0.2,4.3
174,2020-01-05 23:00,0.6,0.0,0.7,250,70,-4.2,1009.6,0.0,788,0.3,4.5
174,2020-01-06 00:00,0.6,0.0,0.3,0,74,-3.5,1009.2,0.0,806,0.3,4.7
174,2020-01-06 01:00,0.7,0.0,0.5,290,74,-3.4,1008.3,0.0,839,0.4,4.8
174,2020-01-06 02:00,1.0,0.0,0.2,0,73,-3.3,1008.4,0.0,926,0.9,4.8
174,2020-01-06 03:00,1.4,0.0,0.8,70,72,-3.1,1008.0,0.0,902,1.3,4.9
174,2020-01-06 04:00,1.8,0.0,1.0,270,72,-2.7,1008.5,0.0,925,1.3,5.0
174,2020-01-06 05:00,2.2,0.0,0.7,360,71,-2.5,1007.8,0.0,894,1.5,5.1
174,2020-01-06 06:00,2.1,0.0,0.1,0,70,-2.8,1007.0,0.0,968,1.7,5.0
174,2020-01-06 07:00,2.3,0.0,1.1,290,75,-1.6,1007.5,0.0,887,1.9,5.4
174,2020-01-06 08:00,2.6,0.0,0.6,70,75,-1.3,1007.5,0.0,550,2.2,5.6
174,2020-01-06 09:00,2.5,0.2,0.1,0,91,1.1,1007.8,0.0,347,3.1,6.6
174,2020-01-06 10:00,2.8,0.0,0.4,0,94,1.9,1007.5,0.0,342,4.1,7.0
174,2020-01-06 11:00,3.7,0.0,0.4,0,97,3.2,1006.3,0.0,287,4.6,7.7
174,2020-01-06 12:00,4.9,0.2,0.2,0,98,4.6,1006.4,0.0,247,5.2,8.5
174,2020-01-06 13:00,5.9,0.0,1.4,50,99,5.7,1005.0,0.0,303,6.2,9.2
174,2020-01-06 14:00,6.2,0.0,1.0,50,98,5.9,1004.3,0.0,338,6.4,9.3
174,2020-01-06 15:00,6.2,3.2,0.3,0,98,5.9,1003.8,0.0,292,5.9,9.3
174,2020-01-06 16:00,6.5,0.0,0.7,90,98,6.2,1003.5,0.0,440,6.0,9.5
174,2020-01-06 17:00,6.6,0.0,1.0,110,98,6.3,1003.1,0.0,447,5.8,9.5
174,2020-01-06 18:00,6.8,4.2,1.1,140,96,6.2,1003.1,0.0,727,5.6,9.5
174,2020-01-06 19:00,6.9,0.0,1.4,140,97,6.4,1003.1,0.0,540,5.6,9.6
174,2020-01-06 20:00,6.6,0.0,1.0,70,98,6.3,1002.8,0.0,426,5.6,9.5
174,2020-01-06 21:00,6.6,3.1,1.1,90,99,6.4,1002.2,0.0,204,5.8,9.6
174,2020-01-06 22:00,6.7,0.0,0.7,70,100,6.6,1001.8,0.0,200,5.9,9.7
174,2020-01-06 23:00,7.1,0.0,1.1,110,100,7.0,1000.7,0.0,374,6.0,10.0
174,2020-01-07 00:00,7.3,8.4,1.1,70,100,7.2,999.9,0.0,283,6.1,10.2
174,2020-01-07 01:00,7.4,0.0,1.0,70,100,7.3,999.3,0.0,290,6.2,10.2
174,2020-01-07 02:00,7.6,0.0,1.4,70,100,7.5,998.5,0.0,497,6.4,10.4
174,2020-01-07 03:00,7.8,8.0,1.8,70,100,7.7,997.7,0.0,349,6.5,10.5
174,2020-01-07 04:00,7.8,0.0,1.8,70,100,7.7,997.1,0.0,306,6.7,10.5
174,2020-01-07 05:00,7.3,0.0,2.2,90,100,7.2,996.5,0.0,218,6.8,10.2
174,2020-01-07 06:00,7.4,1.2,1.8,90,100,7.3,996.2,0.0,58,6.8,10.2
174,2020-01-07 07:00,7.6,0.0,1.7,90,100,7.5,996.0,0.0,271,7.0,10.4
174,2020-01-07 08:00,7.8,0.0,0.1,0,100,7.7,996.0,0.0,85,7.0,10.5
174,2020-01-07 09:00,8.1,3.2,0.0,0,100,8.0,996.0,0.0,141,7.4,10.7
174,2020-01-07 10:00,8.7,0.0,0.6,250,100,8.6,996.0,0.0,147,8.2,11.2
174,2020-01-07 11:00,10.2,0.0,1.3,70,100,10.1,995.3,0.0,99,9.6,12.4
174,2020-01-07 12:00,15.1,1.4,1.5,140,98,14.7,994.1,0.0,1459,11.4,16.7
174,2020-01-07 13:00,15.8,0.0,2.6,160,91,14.3,993.2,0.0,913,12.9,16.3
174,2020-01-07 14:00,16.4,0.0,2.2,140,87,14.2,991.9,0.0,946,14.6,16.2
174,2020-01-07 15:00,16.3,0.6,2.1,160,86,13.9,991.3,0.0,1582,14.1,15.9
174,2020-01-07 16:00,16.2,0.0,3.0,140,89,14.3,990.7,0.0,1403,13.5,16.3
174,2020-01-07 17:00,15.7,0.0,1.1,200,93,14.5,989.5,0.0,785,13.2,16.5
174,2020-01-07 18:00,15.6,2.5,1.5,110,94,14.6,988.8,0.0,589,13.0,16.6
174,2020-01-07 19:00,15.9,0.0,2.7,140,93,14.7,985.9,0.0,579,13.0,16.7
174,2020-01-07 20:00,15.9,0.0,2.2,290,96,15.2,985.2,0.0,369,13.4,17.3
174,2020-01-07 21:00,14.9,15.9,6.9,270,79,11.2,985.1,0.0,1913,12.8,13.3
174,2020-01-07 22:00,14.4,0.0,4.3,250,81,11.1,984.4,0.0,1160,12.1,13.2
174,2020-01-07 23:00,14.1,0.0,3.6,250,82,11.0,983.8,0.0,1979,11.9,13.1
174,2020-01-08 00:00,11.3,1.5,6.8,270,82,8.3,985.0,0.0,1286,10.6,10.9
174,2020-01-08 01:00,9.4,0.0,7.1,270,80,6.1,985.9,0.0,1796,9.2,9.4
174,2020-01-08 02:00,8.2,0.0,7.3,290,83,5.4,986.2,0.0,973,8.1,9.0
174,2020-01-08 03:00,7.1,0.6,8.2,290,85,4.7,987.1,0.0,742,7.3,8.5
174,2020-01-08 04:00,6.4,0.0,8.5,290,80,3.1,987.9,0.0,1538,6.3,7.6
174,2020-01-08 05:00,5.4,0.0,5.5,290,86,3.2,989.1,0.0,856,5.9,7.7
174,2020-01-08 06:00,5.0,0.8,6.6,290,89,3.3,989.7,0.0,632,5.5,7.7
174,2020-01-08 07:00,5.0,0.0,7.1,290,87,3.0,990.0,0.0,851,5.2,7.6
174,2020-01-08 08:00,4.9,0.0,9.1,290,84,2.4,991.5,0.0,741,4.9,7.3
174,2020-01-08 09:00,4.9,0.2,8.4,290,78,1.3,992.4,0.0,736,4.8,6.7
174,2020-01-08 10:00,4.9,0.0,9.1,290,74,0.6,994.1,0.0,784,5.0,6.4
174,2020-01-08 11:00,4.7,0.0,8.3,290,76,0.8,994.8,0.0,856,5.5,6.5
174,2020-01-08 12:00,4.1,0.0,6.5,320,79,0.8,994.9,0.0,787,4.9,6.5
174,2020-01-08 13:00,3.9,0.0,6.5,290,82,1.1,995.8,0.0,771,4.6,6.6
174,2020-01-08 14:00,3.8,0.0,4.5,320,84,1.3,996.2,0.0,814,4.8,6.7
174,2020-01-08 15:00,3.8,0.0,3.8,340,84,1.3,996.7,0.0,888,4.8,6.7
174,2020-01-08 16:00,3.7,0.0,2.9,290,84,1.2,998.1,0.0,939,4.5,6.7
174,2020-01-08 17:00,3.7,0.0,2.9,320,85,1.4,999.1,0.0,880,4.2,6.8
174,2020-01-08 18:00,3.6,0.0,1.9,320,85,1.3,1000.0,0.0,904,4.1,6.7
174,2020-01-08 19:00,3.4,0.0,2.4,320,86,1.2,1000.7,0.0,946,3.9,6.7
174,2020-01-08 20:00,3.6,0.0,2.7,340,81,0.6,1001.1,0.0,998,3.7,6.4
174,2020-01-08 21:00,3.5,0.0,3.8,320,81,0.5,1001.3,0.0,879,3.5,6.3
174,2020-01-08 22:00,3.4,0.0,4.3,320,80,0.2,1001.6,0.0,782,3.3,6.2
174,2020-01-08 23:00,3.2,0.0,5.2,290,75,-0.8,1001.6,0.0,785,2.9,5.8
174,2020-01-09 00:00,3.0,0.0,4.1,320,71,-1.7,1001.8,0.0,849,2.6,5.4
174,2020-01-09 01:00,2.7,0.0,4.0,320,74,-1.4,1001.3,0.0,707,2.4,5.5
174,2020-01-09 02:00,2.7,0.0,3.5,290,71,-2.0,1001.4,0.0,797,2.3,5.3
174,2020-01-09 03:00,2.5,0.0,3.3,320,71,-2.2,1001.4,0.0,804,2.1,5.2
174,2020-01-09 04:00,2.3,0.0,3.6,320,71,-2.4,1001.7,0.0,815,1.7,5.1
174,2020-01-09 05:00,2.1,0.0,3.6,320,70,-2.8,1001.6,0.0,861,1.4,5.0
174,2020-01-09 06:00,1.7,0.0,2.4,320,70,-3.1,1001.8,0.0,839,1.2,4.9
174,2020-01-09 07:00,1.6,0.0,3.0,320,71,-3.1,1002.3,0.0,792,0.8,4.9
174,2020-01-09 08:00,1.4,0.0,3.0,290,72,-3.1,1002.3,0.0,777,0.7,4.9
174,2020-01-09 09:00,2.1,0.0,3.1,290,69,-3.0,1002.6,0.4,851,2.1,4.9
174,2020-01-09 10:00,2.6,0.0,4.4,290,67,-2.9,1003.0,1.0,823,2.4,4.9
174,2020-01-09 11:00,3.1,0.0,4.7,290,65,-2.8,1002.9,1.0,836,2.7,5.0
174,2020-01-09 12:00,4.6,0.0,5.0,290,59,-2.7,1001.9,1.0,1070,4.8,5.0
174,2020-01-09 13:00,4.8,0.0,4.6,290,54,-3.7,1001.5,1.0,1252,6.5,4.6
174,2020-01-09 14:00,4.7,0.0,6.9,290,52,-4.3,1001.1,1.0,1336,7.0,4.4
174,2020-01-09 15:00,4.7,0.0,5.4,320,51,-4.5,1001.2,0.6,1214,6.3,4.4
174,2020-01-09 16:00,4.6,0.0,5.4,290,52,-4.4,1001.3,0.3,1360,4.7,4.4
174,2020-01-09 17:00,3.8,0.0,6.0,290,57,-3.9,1001.6,0.0,1209,2.9,4.6
174,2020-01-09 18:00,2.8,0.0,3.0,320,64,-3.3,1002.2,0.0,1140,1.6,4.8
174,2020-01-09 19:00,2.1,0.0,3.5,290,67,-3.4,1002.6,0.0,1157,0.7,4.8
174,2020-01-09 20:00,1.5,0.0,4.4,290,71,-3.1,1002.9,0.0,1092,0.3,4.9
174,2020-01-09 21:00,0.8,0.0,4.1,290,74,-3.3,1003.2,0.0,1051,0.1,4.8
174,2020-01-09 22:00,0.3,0.0,3.2,290,76,-3.4,1003.3,0.0,1061,-0.5,4.8
174,2020-01-09 23:00,-0.2,0.0,3.4,290,78,-3.5,1003.3,0.0,1056,0.1,4.7
174,2020-01-10 00:00,-0.3,0.0,3.3,290,78,-3.6,1003.0,0.0,1011,0.1,4.7
174,2020-01-10 01:00,-0.5,0.0,3.7,270,79,-3.7,1002.8,0.0,962,0.1,4.6
174,2020-01-10 02:00,-0.6,0.0,3.4,290,78,-3.9,1002.5,0.0,952,0.0,4.6
174,2020-01-10 03:00,-0.6,0.0,3.3,290,77,-4.1,1002.3,0.0,939,-0.1,4.5
174,2020-01-10 04:00,-0.9,0.0,2.4,320,76,-4.6,1001.9,0.0,951,-0.1,4.3
174,2020-01-10 05:00,-1.1,0.0,1.6,290,76,-4.7,1001.9,0.0,946,-0.2,4.3
174,2020-01-10 06:00,-1.6,0.0,2.0,290,79,-4.7,1002.5,0.0,839,-0.3,4.3
174,2020-01-10 07:00,-1.5,0.0,1.6,290,78,-4.8,1003.1,0.0,792,-0.4,4.3
174,2020-01-10 08:00,-3.6,0.0,1.0,270,90,-5.0,1003.0,0.0,594,-0.4,4.2
174,2020-01-10 09:00,-1.8,0.0,0.8,110,85,-3.9,1003.9,0.9,547,-0.2,4.6
174,2020-01-10 10:00,2.5,0.0,2.0,270,57,-5.1,1003.8,1.0,1189,0.1,4.2
174,2020-01-10 11:00,3.9,0.0,1.3,180,49,-5.8,1003.3,1.0,1286,0.1,4.0
174,2020-01-10 12:00,6.3,0.0,1.2,230,39,-6.6,1001.9,1.0,1754,0.1,3.7
174,2020-01-10 13:00,8.3,0.0,1.5,230,34,-6.6,999.9,1.0,1695,0.5,3.7
174,2020-01-10 14:00,9.5,0.0,1.8,140,32,-6.4,999.7,1.0,1700,6.2,3.8
174,2020-01-10 15:00,9.6,0.0,3.0,250,36,-4.7,999.9,1.0,1611,11.2,4.3
174,2020-01-10 16:00,10.3,0.0,1.2,230,36,-4.1,999.7,1.0,1796,8.4,4.5
174,2020-01-10 17:00,7.4,0.0,3.4,250,43,-4.3,1000.2,1.0,1795,4.9,4.4
174,2020-01-10 18:00,4.8,0.0,2.8,250,50,-4.7,1000.3,0.0,1584,2.2,4.3
174,2020-01-10 19:00,3.7,0.0,0.3,0,58,-3.8,1000.4,0.0,1231,1.0,4.6
174,2020-01-10 20:00,1.7,0.0,0.8,160,68,-3.5,1000.6,0.0,1118,0.2,4.7
174,2020-01-10 21:00,1.1,0.0,1.2,320,72,-3.3,1000.5,0.0,709,-0.4,4.8
174,2020-01-10 22:00,-0.6,0.0,0.3,0,80,-3.6,1000.5,0.0,660,0.1,4.7
174,2020-01-10 23:00,-0.9,0.0,0.1,0,85,-3.1,1000.2,0.0,625,0.1,4.9
174,2020-01-11 00:00,1.5,0.0,2.4,290,64,-4.5,1000.1,0.0,878,0.1,4.4
174,2020-01-11 01:00,1.4,0.0,2.2,290,64,-4.6,1000.0,0.0,869,0.1,4.3
174,2020-01-11 02:00,1.4,0.0,3.4,290,64,-4.6,999.7,0.0,784,0.1,4.3
174,2020-01-11 03:00,1.2,0.0,3.0,290,63,-5.0,999.5,0.0,763,0.0,4.2
174,2020-01-11 04:00,0.8,0.0,3.7,290,64,-5.2,999.5,0.0,712,-0.2,4.2
174,2020-01-11 05:00,0.4,0.0,4.2,290,60,-6.4,999.2,0.0,793,-0.4,3.8
174,2020-01-11 06:00,0.2,0.0,3.7,290,60,-6.6,999.4,0.0,878,-0.6,3.7
174,2020-01-11 07:00,0.4,0.0,3.2,290,59,-6.6,999.7,0.0,870,-0.7,3.7
174,2020-01-11 08:00,0.2,0.0,2.1,320,65,-5.6,999.7,0.0,740,-0.7,4.0
174,2020-01-11 09:00,2.1,0.0,2.7,290,61,-4.6,1000.0,0.8,705,-0.1,4.3
174,2020-01-11 10:00,4.2,0.0,2.7,290,57,-3.5,1000.5,1.0,714,0.1,4.7
174,2020-01-11 11:00,5.3,0.0,3.4,290,54,-3.2,1000.0,1.0,826,0.2,4.8
174,2020-01-11 12:00,6.6,0.0,4.1,290,48,-3.6,998.9,1.0,848,0.9,4.7
174,2020-01-11 13:00,6.8,0.0,4.7,290,48,-3.4,997.7,1.0,775,5.5,4.8
174,2020-01-11 14:00,7.4,0.0,4.3,290,49,-2.6,996.7,1.0,740,8.9,5.0
174,2020-01-11 15:00,7.3,0.0,4.5,290,49,-2.7,996.1,1.0,677,9.0,5.0
174,2020-01-11 16:00,7.1,0.0,3.9,320,48,-3.1,996.4,1.0,781,6.7,4.9
174,2020-01-11 17:00,5.9,0.0,3.0,320,49,-4.0,996.4,0.8,693,3.9,4.5
174,2020-01-11 18:00,4.7,0.0,4.1,290,55,-3.5,996.3,0.0,658,2.5,4.7
